Alpha_0.2,Alpha_0.4,Alpha_0.6,Alpha_0.8
89,50,85,28
16,40,54,31
112,64,11,14
91,7,74,34
87,56,81,27
90,13,37,38
96,80,53,17
87,7,48,34
95,251,76,31
85,7,85,31
26,57,83,21
100,56,30,21
78,34,54,30
10,35,78,29
92,50,7,19
92,6,20,13
25,87,90,36
103,57,7,39
100,124,79,15
95,67,28,30
90,8,43,19
99,13,36,20
82,10,77,19
15,43,24,51
88,52,74,35
85,59,29,25
91,59,78,38
91,73,71,28
114,64,65,13
97,11,71,26
100,3,15,26
89,59,78,17
16,12,82,19
90,5,79,16
69,24,82,18
89,75,66,51
96,10,84,31
85,45,66,30
91,6,67,19
25,15,81,30
15,51,78,25
11,110,34,26
90,16,45,37
99,9,20,11
79,5,70,34
90,14,70,23
15,10,64,34
99,78,71,16
103,25,61,50
95,55,83,27
95,47,58,8
87,56,76,21
18,11,71,16
99,10,12,45
107,19,78,23
93,13,36,25
103,47,32,23
88,13,70,35
90,76,82,10
8,69,84,14
21,70,44,51
15,15,93,36
91,12,77,40
56,35,77,26
17,35,84,50
91,50,68,33
92,6,72,26
90,58,55,34
94,47,76,25
96,64,82,16
102,10,5,22
95,55,83,25
103,58,39,34
79,65,35,31
27,128,32,17
21,60,88,37
97,53,71,16
29,266,46,13
16,138,70,28
95,66,36,35
9,16,29,30
97,5,63,35
107,9,68,39
108,21,67,25
11,90,20,25
97,56,71,30
90,17,73,26
103,56,72,8
102,47,44,56
88,53,58,17
107,55,79,17
15,44,63,19
107,18,56,28
77,41,71,25
96,168,27,19
100,50,50,39
91,58,70,15
11,7,80,21
7,66,44,30
102,78,87,26
26,48,69,20
95,12,87,21
103,277,70,10
15,66,63,19
24,24,77,16
79,17,53,19
102,16,71,19
100,19,85,20
103,52,64,27
102,8,74,34
114,91,76,35
103,19,81,23
93,44,5,8
91,8,41,29
96,59,65,20
92,13,24,40
26,55,69,28
77,63,61,37
95,21,75,7
28,28,66,14
101,63,53,16
56,13,66,36
94,59,39,51
100,60,18,53
102,66,57,42
13,62,64,25
43,40,87,11
102,2,80,20
27,46,70,37
17,100,66,11
84,47,9,24
100,57,87,28
95,8,65,23
91,52,47,37
100,142,74,23
8,59,84,23
95,46,76,17
102,11,83,25
19,3,70,28
19,32,88,31
100,327,57,21
92,51,68,25
90,12,43,25
91,102,90,17
11,8,18,25
105,51,84,35
89,61,70,18
91,34,57,21
91,234,78,35
97,67,9,33
96,26,74,23
83,66,11,11
22,62,75,19
16,128,78,32
21,19,84,11
91,42,69,14
107,11,80,36
102,44,62,21
88,44,12,15
29,402,13,23
96,400,44,29
104,71,75,34
96,8,80,37
95,26,69,7
94,20,71,40
96,37,65,18
91,49,68,33
78,58,71,16
95,13,15,16
21,16,50,18
98,62,72,15
91,11,76,7
31,55,43,21
100,5,11,34
21,65,78,25
41,67,20,15
93,51,66,20
24,92,83,4
62,45,75,25
100,54,69,53
2,41,65,18
91,90,84,13
91,41,66,17
101,56,85,17
94,3,79,20
97,17,71,14
82,110,67,12
17,50,84,20
93,177,28,19
99,23,75,33
100,48,76,36
87,70,100,11
103,155,29,18
103,71,55,16
106,61,54,11
97,77,78,14
92,44,76,7
95,44,67,15
89,8,75,24
2,56,82,51
102,57,16,10
76,47,36,42
91,37,57,7
94,61,86,16
20,22,95,11
89,57,70,37
110,63,74,13
24,20,86,20
38,8,68,17
102,57,53,15
99,60,67,27
74,48,83,25
68,101,67,13
38,106,71,11
16,12,73,25
101,42,92,32
110,55,87,14
91,53,20,20
31,125,78,29
100,46,76,11
75,32,75,43
89,59,64,11
89,45,72,7
100,12,80,13
11,91,80,40
25,83,99,14
101,46,55,30
91,49,69,24
2,52,34,35
99,23,69,13
100,81,79,42
99,229,78,13
17,72,79,21
94,12,54,18
76,32,11,21
77,53,86,11
93,7,62,29
91,54,59,26
3,24,73,18
33,5,65,26
103,40,78,13
19,12,42,18
92,10,73,20
88,32,87,23
107,135,70,17
13,9,27,14
25,19,53,37
102,53,77,26
97,4,77,36
89,9,74,13
96,46,57,30
103,4,68,37
91,45,99,42
99,40,44,15
105,5,72,4
102,60,91,17
106,10,57,29
96,151,10,18
83,167,15,16
66,35,69,20
99,82,69,20
102,85,73,21
25,55,73,11
96,7,70,16
88,6,65,12
84,31,28,16
75,96,22,35
22,12,55,40
100,328,58,31
68,84,70,8
28,5,69,24
91,78,4,24
95,9,28,18
92,54,82,18
102,8,15,18
72,36,22,19
88,45,56,15
16,93,78,9
18,59,72,31
96,62,49,25
2,55,59,13
102,58,69,24
103,9,57,24
101,29,75,16
2,27,85,33
94,14,42,17
16,6,62,14
94,151,75,30
88,43,18,20
2,8,16,28
31,65,52,25
91,105,68,21
93,41,72,24
95,60,64,37
25,54,42,43
78,41,66,10
20,11,80,24
30,20,24,35
100,45,69,26
84,57,81,14
84,31,29,31
27,46,70,25
5,55,70,42
106,8,45,13
12,46,57,33
91,63,74,10
96,18,15,34
96,110,59,25
28,102,77,28
88,16,47,13
16,58,72,12
103,23,38,12
91,70,23,30
92,51,9,61
92,55,3,25
103,46,76,14
103,57,26,48
13,2,21,8
95,98,71,19
96,62,74,21
96,64,69,16
91,56,50,14
105,52,80,21
82,7,10,20
17,61,72,20
101,36,11,29
74,65,18,20
106,13,79,23
73,8,76,10
103,40,69,44
95,57,60,26
95,10,30,21
3,144,80,19
99,40,52,21
96,55,32,43
102,25,76,26
2,55,13,25
91,56,80,28
96,17,43,47
103,13,77,25
88,8,26,17
2,55,70,40
65,46,21,25
96,7,86,26
20,8,45,25
82,69,47,18
91,58,74,26
16,24,68,15
96,16,43,12
10,8,34,16
98,66,46,28
16,110,65,16
91,6,71,41
90,229,75,20
99,5,78,22
27,46,52,40
99,54,68,20
17,18,82,36
94,89,14,36
103,53,63,30
103,9,50,39
100,63,76,26
86,2,74,35
35,17,80,5
3,56,72,49
103,5,77,15
32,60,12,18
35,137,73,21
91,60,69,20
106,12,56,14
107,50,71,20
92,12,85,13
84,60,80,18
99,50,4,40
23,5,74,24
12,78,18,20
99,359,9,8
102,101,14,29
103,14,90,23
92,6,49,29
12,15,16,24
100,146,65,17
18,55,23,11
43,8,76,8
102,48,76,19
102,10,22,55
15,27,54,28
91,42,81,44
92,15,75,20
9,55,5,15
101,14,48,18
110,37,83,24
25,16,56,34
95,2,61,10
95,46,70,26
21,190,86,39
92,57,11,21
105,9,70,3
9,13,21,35
13,140,50,36
2,15,79,35
95,10,68,38
107,8,68,29
99,21,24,31
99,53,15,36
98,60,71,16
