All Equal,Two Opposing,Porisitive Dominant,Negative Dominant,50% Moderates,75% Moderates,90% Moderates
54,54,6,29,32,7,4
28,65,5,8,7,4,2
66,67,4,10,36,13,6
56,67,2,2,25,11,3
71,51,6,2,27,17,4
68,64,2,3,55,19,3
55,69,5,2,27,14,2
22,80,2,6,36,11,2
26,58,3,2,96,2,2
69,14,8,2,65,7,2
35,72,8,2,24,6,2
44,60,2,2,21,4,5
17,57,5,29,45,20,2
61,73,4,4,13,22,2
69,70,3,2,45,27,2
60,45,2,2,15,5,2
67,61,8,12,30,4,2
71,5,3,21,48,7,9
54,46,4,6,41,5,3
72,73,3,3,20,6,2
65,69,2,2,15,2,3
81,77,4,5,40,21,2
52,62,12,8,33,13,6
66,65,27,29,25,25,4
36,41,2,2,36,10,2
66,57,10,3,50,3,2
54,74,2,11,29,3,3
55,67,2,6,33,10,5
67,75,3,2,44,19,2
57,67,21,10,52,8,2
66,37,4,2,12,7,4
37,71,4,2,20,11,3
60,63,6,2,25,9,2
66,71,7,4,14,15,5
71,6,5,2,27,29,2
26,8,2,3,26,3,2
65,68,4,2,25,7,2
15,73,5,2,25,4,2
73,67,2,14,20,9,2
10,69,35,11,32,3,2
36,4,3,2,37,7,2
74,46,3,2,40,22,3
56,30,5,5,59,7,4
79,70,8,8,36,13,7
70,75,15,4,53,15,4
65,57,4,10,66,13,6
66,83,4,4,47,2,3
65,40,2,4,32,2,2
10,66,5,2,24,11,2
8,71,4,6,17,3,2
80,66,5,5,38,9,3
66,56,7,3,47,18,5
12,60,5,13,63,19,2
31,65,4,3,51,2,3
51,70,29,2,52,24,2
35,76,5,16,20,2,2
20,45,10,5,40,16,4
59,78,2,8,65,4,2
65,71,4,5,24,21,4
73,61,12,19,28,27,3
5,24,2,2,33,13,2
57,90,4,2,55,17,2
66,20,5,2,59,16,2
77,71,5,2,44,4,2
41,71,13,9,47,5,3
40,67,6,2,55,4,3
34,68,5,5,32,20,2
65,65,4,4,61,21,4
52,62,5,20,31,7,2
51,71,2,2,32,4,2
41,51,4,4,14,16,2
70,72,13,4,47,14,2
22,65,2,2,70,15,2
59,71,2,5,59,4,5
16,44,4,4,15,15,2
36,94,6,10,35,12,4
51,33,9,3,50,7,4
21,16,9,6,20,24,4
73,88,3,3,36,37,2
45,80,4,4,47,16,2
67,72,2,2,34,25,2
18,74,16,2,46,18,3
63,66,5,4,32,2,5
47,68,6,3,33,16,2
10,54,10,13,45,13,3
27,65,4,11,45,4,2
71,86,4,28,12,15,2
71,56,6,3,36,9,4
70,74,2,2,36,16,3
16,69,7,7,32,34,2
69,13,3,5,56,4,2
31,62,3,3,38,16,2
53,28,11,5,36,16,2
60,59,2,5,60,5,4
71,75,4,24,60,12,2
57,68,12,16,50,21,2
42,30,4,5,20,10,2
25,51,19,5,27,16,7
64,64,10,4,54,11,2
65,73,4,2,34,14,2
75,68,13,5,37,4,2
68,46,5,5,33,16,2
31,84,4,3,17,15,2
55,68,2,18,10,2,5
78,49,2,4,52,3,6
70,72,5,4,64,27,2
55,71,6,16,46,2,2
69,46,7,3,31,16,2
66,76,6,2,69,2,2
49,84,4,4,25,7,2
69,68,2,2,35,8,4
66,97,4,15,33,6,2
60,27,2,6,43,10,2
92,27,2,14,60,14,2
70,71,6,2,40,5,2
59,69,11,6,26,4,2
39,66,2,3,60,2,2
56,31,5,2,34,20,4
54,51,2,10,32,19,2
69,80,5,25,64,9,2
62,56,6,2,64,16,2
82,62,21,2,25,15,2
67,100,2,2,45,7,4
69,72,3,2,17,4,5
36,69,2,4,15,7,2
70,66,8,20,51,15,3
60,55,4,8,55,16,6
57,59,6,2,33,2,2
14,81,2,7,26,7,4
52,54,10,2,52,2,2
69,9,2,2,59,16,2
60,78,2,3,44,7,4
28,62,13,2,13,9,3
22,35,3,2,25,11,2
65,74,5,7,49,21,5
53,72,2,2,60,17,2
91,63,8,5,57,15,2
16,70,2,2,36,9,2
70,84,21,6,19,15,2
52,16,8,35,13,15,3
52,82,4,2,52,16,2
53,68,3,2,53,7,3
50,4,2,2,13,3,2
25,74,5,2,20,15,2
63,71,16,2,44,5,2
15,70,2,11,5,4,2
68,63,2,6,45,11,2
61,55,4,5,30,9,2
59,72,6,6,37,16,3
60,69,6,11,50,23,2
70,69,15,9,52,3,4
73,75,4,4,26,4,3
59,60,15,2,37,7,2
69,81,4,3,41,7,2
52,19,3,2,6,10,2
65,53,2,2,37,11,4
63,49,2,2,37,8,4
49,80,3,12,57,9,2
44,71,7,2,18,8,4
48,74,8,8,45,7,2
73,71,10,10,57,9,3
71,71,2,16,47,8,6
65,38,4,25,25,25,4
57,69,9,2,55,3,6
60,62,2,6,3,5,2
33,69,2,2,56,3,2
51,70,2,16,46,7,7
66,18,7,14,49,15,5
56,67,2,2,60,11,2
54,40,7,12,46,8,2
53,66,8,2,36,5,4
56,73,5,2,16,19,8
52,71,6,3,2,16,2
57,53,2,2,35,4,4
38,47,2,3,50,8,2
74,48,5,2,45,24,2
36,65,5,4,24,20,2
76,83,6,5,45,21,5
58,69,8,2,58,2,4
67,70,4,24,49,4,2
55,21,2,16,32,22,10
71,73,4,7,44,21,2
54,71,4,11,17,15,4
51,45,2,7,71,2,4
53,86,3,5,22,21,4
70,81,6,2,48,6,2
72,60,2,5,2,3,2
29,68,2,4,13,2,2
53,67,21,2,7,10,4
55,59,4,16,59,7,6
74,65,11,2,37,7,2
28,86,2,10,61,7,4
24,58,5,5,23,5,2
69,84,2,2,32,19,4
54,83,2,35,19,5,2
50,88,3,3,41,2,3
59,65,25,2,22,12,2
69,44,4,4,52,3,4
52,69,2,2,60,4,3
52,62,4,2,50,13,2
59,62,2,2,57,4,3
48,54,2,7,51,16,2
53,76,7,2,21,2,6
67,71,5,25,20,10,3
16,80,8,4,31,8,2
44,25,22,2,40,4,3
56,30,18,8,50,15,5
25,80,2,2,17,8,2
48,71,5,2,17,6,5
62,22,2,2,24,11,2
65,29,5,5,20,14,2
73,66,4,10,51,7,2
55,86,2,2,35,21,4
38,80,2,2,55,21,2
23,49,2,6,20,2,2
61,51,6,9,24,4,2
72,61,8,5,36,21,5
5,8,5,7,16,4,2
59,60,3,2,65,6,2
17,17,2,2,50,4,2
20,68,2,4,60,6,6
52,70,2,2,52,16,6
53,52,4,4,60,16,2
52,74,3,2,52,21,4
32,64,2,2,52,16,6
60,50,2,23,50,24,4
71,41,9,8,57,9,2
25,69,5,4,32,8,4
24,55,4,2,59,6,2
69,80,4,6,28,12,2
40,76,2,2,40,7,2
20,47,2,2,47,11,2
60,72,3,2,54,4,3
75,76,11,2,53,16,2
83,66,10,18,49,4,9
52,62,2,2,20,14,2
69,10,3,5,31,19,2
63,39,5,8,17,3,4
56,87,3,6,7,10,4
74,63,16,11,60,7,2
65,53,3,9,33,24,2
60,70,2,11,56,4,2
67,5,2,2,4,3,2
71,17,2,5,25,15,6
69,64,3,2,25,15,2
7,76,2,6,50,11,6
44,74,4,2,25,7,2
80,62,11,4,56,20,2
83,69,17,2,57,6,5
36,61,6,6,15,11,2
58,70,2,4,52,21,2
15,68,6,8,57,10,2
53,73,4,3,30,17,4
53,80,3,6,50,4,2
37,67,6,9,29,6,2
5,58,7,2,23,21,3
60,77,4,8,45,8,2
27,93,3,2,19,15,2
65,72,12,2,15,7,3
73,66,6,4,42,20,4
71,48,6,7,16,4,2
36,52,2,2,33,11,6
74,19,13,2,35,18,2
51,73,8,2,36,5,3
63,5,11,2,40,2,2
58,6,6,6,26,6,2
53,68,10,4,36,5,5
68,57,5,2,52,16,3
55,73,2,7,35,16,2
50,83,6,2,33,2,5
65,56,4,2,52,2,2
66,78,2,2,31,4,7
69,77,8,2,16,5,3
58,68,2,2,69,12,2
45,62,5,5,48,13,6
54,79,4,2,19,12,2
63,85,2,8,53,2,2
43,68,2,4,15,14,2
46,62,13,13,15,6,6
50,81,5,2,25,19,2
69,77,12,4,25,8,2
66,81,32,2,20,2,4
80,61,2,4,11,4,2
39,63,2,2,27,18,2
76,50,2,9,25,2,2
68,70,4,4,36,24,2
40,70,14,10,59,2,2
62,57,27,6,55,18,3
53,69,2,4,14,9,5
62,84,5,3,65,2,3
66,72,4,3,48,10,2
55,79,4,3,33,3,2
66,8,2,2,13,4,2
56,68,4,6,36,4,2
11,7,4,8,26,4,2
54,76,4,2,48,5,2
34,59,2,2,49,14,4
51,87,2,2,29,16,4
79,51,9,2,21,12,2
53,62,14,16,65,23,2
11,63,5,7,32,11,2
55,72,5,2,44,2,2
52,43,6,3,41,8,2
71,72,2,2,39,20,7
60,73,6,6,32,10,2
24,56,2,2,45,15,2
81,73,5,5,33,3,2
59,36,4,2,35,8,2
36,53,4,2,29,8,2
69,62,2,16,19,11,2
74,45,4,20,31,2,2
77,62,2,5,36,2,2
20,77,7,5,60,17,4
56,65,12,7,59,15,3
70,56,5,5,50,21,2
70,68,3,4,40,2,3
71,65,3,2,37,20,2
22,65,3,4,16,9,2
57,57,18,17,57,7,12
15,69,2,2,36,18,2
55,57,23,3,16,11,2
6,67,10,15,34,6,2
66,48,6,2,52,7,7
33,69,3,2,45,15,2
27,61,4,7,25,14,2
55,46,2,2,25,7,2
53,65,5,6,53,8,5
19,53,4,2,29,2,2
58,68,2,2,42,14,7
53,84,2,2,20,8,4
64,64,2,2,52,16,4
52,62,9,8,53,14,2
10,67,5,2,15,4,3
73,80,5,2,51,21,2
54,68,4,6,31,4,2
37,69,5,2,37,9,2
61,39,5,2,37,9,2
52,66,10,2,36,14,4
77,65,11,3,35,3,7
16,59,2,4,54,20,2
63,60,4,4,43,5,2
20,20,3,2,35,21,2
47,53,6,4,67,11,2
86,85,7,17,47,16,6
54,13,2,7,32,16,2
46,64,2,2,43,15,2
62,60,15,3,34,2,5
63,70,2,2,46,16,2
23,33,3,5,31,21,3
62,63,7,3,46,4,2
15,73,4,5,28,13,2
47,75,2,6,46,16,2
44,67,2,2,68,25,2
41,27,3,7,36,4,2
32,66,9,8,50,4,2
61,53,4,5,57,3,3
60,70,2,5,32,16,2
72,60,2,2,31,16,2
52,73,3,5,6,7,6
76,59,10,4,45,8,7
52,70,2,2,50,3,3
60,65,7,7,37,15,5
38,70,12,4,31,25,2
54,45,4,5,43,7,2
48,86,6,2,15,9,2
52,53,2,4,47,2,2
38,68,2,2,16,15,2
52,64,8,2,31,27,5
23,71,6,4,34,11,4
59,84,18,6,28,19,2
57,67,2,5,3,3,9
65,63,2,8,13,16,6
65,73,2,2,12,9,3
68,73,8,2,26,4,2
51,52,14,27,35,16,4
78,76,2,6,32,13,2
66,79,3,8,47,10,2
84,7,15,4,46,3,4
88,61,2,5,36,4,2
13,45,2,2,21,21,2
70,74,22,2,43,13,2
66,58,10,2,43,10,3
56,53,13,2,51,14,2
37,65,2,2,32,17,2
38,46,3,2,32,20,2
53,66,2,8,14,15,3
68,20,2,12,59,8,2
74,86,7,7,35,21,6
66,63,3,2,16,15,10
70,89,2,26,60,17,2
24,69,2,2,50,17,2
68,64,9,2,7,16,2
42,78,4,2,9,4,6
40,67,11,4,50,17,6
35,60,4,5,37,25,6
46,54,4,4,60,7,2
30,73,4,4,20,2,2
68,18,2,7,36,16,2
54,81,3,11,36,21,5
52,65,16,20,53,14,6
40,73,5,2,69,10,2
44,72,5,5,9,24,2
83,8,3,2,25,13,2
70,67,2,6,41,4,3
47,34,5,4,40,4,2
33,61,4,2,31,16,2
27,72,16,11,48,15,4
17,72,4,4,49,4,2
68,26,6,3,21,5,4
69,79,5,2,28,9,4
59,56,12,2,50,2,2
68,47,5,9,45,14,4
45,57,2,2,56,8,4
69,18,3,2,28,19,2
48,57,3,3,59,4,2
36,70,7,3,44,3,4
76,58,4,2,56,16,2
24,57,8,8,54,20,3
31,60,8,8,46,6,5
31,67,4,2,59,16,4
59,12,6,2,48,16,6
35,75,11,10,13,16,3
70,58,8,4,20,7,3
63,59,3,2,45,2,2
66,25,2,2,45,16,2
70,69,17,12,25,5,2
73,54,8,5,50,15,2
52,63,2,2,60,16,6
57,70,9,4,28,14,2
27,43,2,10,16,18,2
28,69,9,2,49,8,5
71,67,3,2,36,17,4
